kod;marka;model;nazwa;kategoria;zastosowanie;pewnosc;stare_zastosowanie
MO5_CBCR17522575MDRO1;Barum;BD200R;225/75R17.5 Barum BD200R 129/127M 12PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR17521575MFRO2;Barum;BF200R LRF;215/75R17.5 Barum BF200R LRF 126/124M 12PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR17521575MDRO0;Barum;BD200R;215/75R17.5 Barum BD200R 126/124M 12PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO2_05124690000;Barum;BF 200;385/65R22.5 Barum BF 200 160K/158L 3PMSF M+S FRONT;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR19526570MF0R1;Barum;BF200R;265/70R19.5 Barum BF200R 140/138M 14PR TL M+S 3PMSF;ciezarowe;All position;WZORZEC;Oś kierowana
MO5_BLCR225F3000KBD80;BlackLion;BD280;13R22.5 BlackLion BD280 156/150K 20PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_BLCR225F3000KBA20;BlackLion;BA220;13R22.5 BlackLion BA220 156/150K 20PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_BRCR22538565KSTE0;Bridgestone;ECOPIA STEER;385/65R22.5 Bridgestone ECOPIA STEER 160K TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22538565KDU20;Bridgestone;DURS2;385/65R22.5 Bridgestone DURS2 160K TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22538555KSTE0;Bridgestone;ECOPIA STEER;385/55R22.5 Bridgestone ECOPIA STEER 160K TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22538555KDU21;Bridgestone;DURS2;385/55R22.5 Bridgestone DURS2 160K TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22535550LEH20;Bridgestone;ECOPIA -STEER 002;355/50R22.5 Bridgestone ECOPIA -STEER 002 156L TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22531580LSTE0;Bridgestone;ECOPIA STEER;315/80R22.5 Bridgestone ECOPIA STEER 156/150L TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22531580LEH20;Bridgestone;ECOPIA -STEER 002;315/80R22.5 Bridgestone ECOPIA -STEER 002 156/150L TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22531580LDU21;Bridgestone;DURS2;315/80R22.5 Bridgestone DURS2 156/150L TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22531580KMS10;Bridgestone;STEER 001;315/80R22.5 Bridgestone -STEER 001 156/150K TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22531570LSTE0;Bridgestone;ECOPIA STEER;315/70R22.5 Bridgestone ECOPIA STEER 156/150L TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22531570LDU21;Bridgestone;DURS2;315/70R22.5 Bridgestone DURS2 156/150L TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22531560LSTE0;Bridgestone;ECOPIA STEER;315/60R22.5 Bridgestone ECOPIA STEER 154/148L TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22531560LDU20;Bridgestone;DURS2;315/60R22.5 Bridgestone DURS2 154/148L TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22531560LCOH0;Bridgestone;ECOPIA -STEER 002;315/60R22.5 Bridgestone ECOPIA -STEER 002 154/148L TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR22529560L24E0;Bridgestone;R249 ECO;295/60R22.5 Bridgestone R249 ECO 150/147L TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR19528570MRS90;Bridgestone;STEER 002;285/70R19.5 Bridgestone -STEER 002 146/144M TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR19526570MRS90;Bridgestone;STEER 002;265/70R19.5 Bridgestone -STEER 002 140/138M TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR17526570MRS90;Bridgestone;STEER 002;265/70R17.5 Bridgestone -STEER 002 138M TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR17524570MRS90;Bridgestone;STEER 002;245/70R17.5 Bridgestone -STEER 002 136/134M TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR17523575MRS90;Bridgestone;STEER 002;235/75R17.5 Bridgestone -STEER 002 132M TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR17522575MRS90;Bridgestone;STEER 002;225/75R17.5 Bridgestone -STEER 002 129/127M TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_BRCR17520575M2RS0;Bridgestone;RS2;205/75R17.5 Bridgestone RS2 124M TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO4_BRCR22531560LSTE0;Bridgestone;ECOPIA STEER;315/60R22.5 Bridgestone ECOPIA STEER 154/148L TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO2_8696;Bridgestone;MS1;13R22.5 Bridgestone MS1 156K FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_32580;Bridgestone;RS2 SEVERE DUTY DURAVIS;315/80R22.5 Bridgestone RS2 SEVERE DUTY DURAVIS 156L/154M 3PMSF FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_19914;Bridgestone;ECOPIA STEER;385/55R22.5 Bridgestone ECOPIA STEER 160K/158L 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_19912;Bridgestone;ECOPIA STEER;315/80R22.5 Bridgestone ECOPIA STEER 156L/154M 3PMSF FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_19339;Bridgestone;R249 ECO;295/60R22.5 Bridgestone R249 ECO 150L/147L 3PMSF FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_17009;Bridgestone;HS2 ECO;355/50R22.5 Bridgestone HS2 ECO 156L 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_16947;Bridgestone;RS2 DURAVIS;315/80R22.5 Bridgestone RS2 DURAVIS 156L/154M 3PMSF FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_16944;Bridgestone;RS2 DURAVIS;315/70R22.5 Bridgestone RS2 DURAVIS 156L/154M 3PMSF FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_16943;Bridgestone;RS2 DURAVIS;295/80R22.5 Bridgestone RS2 DURAVIS 154M/149M 3PMSF FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_16940;Bridgestone;RS2 DURAVIS;385/55R22.5 Bridgestone RS2 DURAVIS 160K/158L FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_16939;Bridgestone;RS2 DURAVIS;385/65R22.5 Bridgestone RS2 DURAVIS 160K/158L FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_16937;Bridgestone;RS2 DURAVIS;315/60R22.5 Bridgestone RS2 DURAVIS 154L/148L 3PMSF FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_13463;Bridgestone;RS2;265/70R17.5 Bridgestone RS2 138M/136M 3PMSF FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_13261;Bridgestone;RS2;235/75R17.5 Bridgestone RS2 132M/130M FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_10379;Bridgestone;RS2;265/70R19.5 Bridgestone RS2 140M/138M FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_10378;Bridgestone;RS2;215/75R17.5 Bridgestone RS2 128M/126M FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_10377;Bridgestone;RS2;225/75R17.5 Bridgestone RS2 129M/127M 3PMSF FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_10376;Bridgestone;RS2;245/70R17.5 Bridgestone RS2 136M/134M FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_10375;Bridgestone;RS2;285/70R19.5 Bridgestone RS2 146M/144M 3PMSF FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_115223852C020KTH2U;Celestis;CTH2;385/65R22.5 Celestis CTH2 164K 3PMSF M+S;ciężarowe;All position;WZORZEC;Oś kierowana
MO2_115223182C018LUH2U;Celestis;CUH2;315/80R22.5 Celestis CUH2 156/150L 3PMSF M+S FRONT;ciężarowe;All position;WZORZEC;Oś kierowana
MO2_115223162C018LUH2U;Celestis;CUH2;315/70R22.5 Celestis CUH2 156/150L 3PMSF M+S FRONT;ciężarowe;All position;WZORZEC;Oś kierowana
MO2_CET0039;Cetroc;GHA20;315/60R22.5 Cetroc GHA20 154/148L 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_CET0037;Cetroc;GHA20;245/70R17.5 Cetroc GHA20 143K/141K 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_CET0026;Cetroc;GHA20;235/75R17.5 Cetroc GHA20 143/141K 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_CET0024;Cetroc;GHA20;215/75R17.5 Cetroc GHA20 135/133K 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_CET0018;Cetroc;GHA20;285/70R19.5 Cetroc GHA20 150/148K 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_CET0014;Cetroc;GHA20;295/60R22.5 Cetroc GHA20 150/147K 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_CET0009;Cetroc;GMA30;315/80R22.5 Cetroc GMA30 157/154L 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_CET0004;Cetroc;GHA20;315/70R22.5 Cetroc GHA20 154/151M 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_CET0003;Cetroc;GHA20;295/80R22.5 Cetroc GHA20 154/149M 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_CET0002;Cetroc;GMA30;13R22.5 Cetroc GMA30 156/153L 3PMSF M+S FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO2_CET0031;Cetroc;LINE A30;385/65R22.5 Cetroc LINE A30 164K 3PMSF M+S FRONT;ciężarowe;All position;WZORZEC;Oś kierowana
MO2_CET0029;Cetroc;LINE A50;385/65R22.5 Cetroc LINE A50 160K 3PMSF M+S FRONT;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CCCZ22538565K3SH0;Continental;CONTI SCANDINAVIA HS3;385/65R22.5 Continental CONTI SCANDINAVIA HS3 160K 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCZ22538555K3SH1;Continental;CONTI SCANDINAVIA HS3 ED;385/55R22.5 Continental CONTI SCANDINAVIA HS3 ED 160K 20PR TL M+S 3PMS;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCZ22531570L3SH0;Continental;CONTI SCANDINAVIA HS3;315/70R22.5 Continental CONTI SCANDINAVIA HS3 156/150L 20PR TL M+S 3PM;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCZ19528570MS3H2;Continental;CONTI SCANDINAVIA HS3;285/70R19.5 Continental CONTI SCANDINAVIA HS3 146/144M 16PR TL M+S 3PM;przemysłowe;All position;PEWNE;Oś kierowana
MO5_CCCZ19526570MS3H0;Continental;CONTI SCANDINAVIA HS3;265/70R19.5 Continental CONTI SCANDINAVIA HS3 140/138M 16PR TL M+S 3PM;przemysłowe;All position;PEWNE;Oś kierowana
MO5_CCCZ17523575ML3S0;Continental;CONTI SCANDINAVIA 3;235/75R17.5 Continental CONTI SCANDINAVIA LS3 132/130M 12PR TL M+S 3PM;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCZ17521575ML3S0;Continental;CONTI SCANDINAVIA 3;215/75R17.5 Continental CONTI SCANDINAVIA LS3 126/124M 12PR TL M+S 3PM;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR225F0000KRMS1;Continental;RMS;10R22.5 Continental RMS 144/142K 14PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22538565KHTC2;Continental;CONTI HYBRID HT3+;385/65R22.5 Continental CONTI HYBRID HT3+ 164K 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22538565KHT50;Continental;CONTI HYBRID HT5 HL;385/65R22.5 Continental CONTI HYBRID HT5 HL 164K 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22538565KCH50;Continental;CONTI HYBRID HS5;385/65R22.5 Continental CONTI HYBRID HS5 164K 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22538565K5SH0;Continental;CONTI ECO HS5;385/65R22.5 Continental CONTI ECO HS5 164K 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22538555KHTC0;Continental;CONTI HYBRID HT3+;385/55R22.5 Continental CONTI HYBRID HT3+ 160K 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22538555KHT50;Continental;CONTI HYBRID HT5;385/55R22.5 Continental CONTI HYBRID HT5 160K 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22538555KCH50;Continental;CONTI HYBRID HS5;385/55R22.5 Continental CONTI HYBRID HS5 160K 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22535550L5SH0;Continental;CONTI ECO HS5;355/50R22.5 Continental CONTI ECO HS5 158L 18PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22531580LCH50;Continental;CONTI HYBRID HS5;315/80R22.5 Continental CONTI HYBRID HS5 156/150L 18PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22531580L5SH0;Continental;CONTI ECO HS5;315/80R22.5 Continental CONTI ECO HS5 156/150L 18PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22531570LCH50;Continental;CONTI HYBRID HS5;315/70R22.5 Continental CONTI HYBRID HS5 156/150L 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22531570L5SH1;Continental;CONTI ECO HS5;315/70R22.5 Continental CONTI ECO HS5 158/150L 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22531570L5SH0;Continental;CONTI ECO HS5;315/70R22.5 Continental CONTI ECO HS5 156/150L 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22531570L5HC0;Continental;Conti EfficientPro HS5;315/70R22.5 Continental Conti EfficientPro HS5 158/150L 18PR TL M+S 3P;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22531560LH3D1;Continental;CONTI HYBRID HD3;315/60R22.5 Continental CONTI HYBRID HD3 152/148L 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22531560L5SH0;Continental;CONTI ECO HS5;315/60R22.5 Continental CONTI ECO HS5 154/150L 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22530570LHS30;Continental;HSR1;305/70R22.5 Continental HSR1 152/148L 18PR TL;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR22529580MCH50;Continental;CONTI HYBRID HS5;295/80R22.5 Continental CONTI HYBRID HS5 154/149M 16PR TL M+S 3PMSF;przemysłowe;All position;PEWNE;Oś kierowana
MO5_CCCR22529560LH3D1;Continental;CONTI HYBRID HD3;295/60R22.5 Continental CONTI HYBRID HD3 150/147L 18PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR19544545JHTC0;Continental;CONTI HYBRID HT3+;445/45R19.5 Continental CONTI HYBRID HT3+ 160J 22PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR19530570MH3D0;Continental;CONTI HYBRID HD3;305/70R19.5 Continental CONTI HYBRID HD3 148/145M 18PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR19528570MH3D0;Continental;CONTI HYBRID HD3;285/70R19.5 Continental CONTI HYBRID HD3 146/144M 16PR TL M+S 3PMSF;przemysłowe;All position;PEWNE;Oś kierowana
MO5_CCCR19528570KHTC0;Continental;CONTI HYBRID HT3+;285/70R19.5 Continental CONTI HYBRID HT3+ 150/148K 18PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR19526570MHSH0;Continental;CONTI HYBRID HS3+;265/70R19.5 Continental CONTI HYBRID HS3+ 140/138M 14PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR19526570MH3H2;Continental;CONTI HYBRID HD3+;265/70R19.5 Continental CONTI HYBRID HD3+ 140/138M 14PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR19526570MH3D1;Continental;CONTI HYBRID HD3;265/70R19.5 Continental CONTI HYBRID HD3 140/138M 14PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR19526570KHTC1;Continental;CONTI HYBRID HT3+;265/70R19.5 Continental CONTI HYBRID HT3+ 143/141K 16PR TL M+S 3PMSF;przemysłowe;All position;PEWNE;Oś kierowana
MO5_CCCR19524570MHS32;Continental;CONTI HYBRID HS3;245/70R19.5 Continental CONTI HYBRID HS3 136/134M 16PR TL M+S 3PMSF;przemysłowe;All position;PEWNE;Oś kierowana
MO5_CCCR19524570MH3D0;Continental;CONTI HYBRID HD3;245/70R19.5 Continental CONTI HYBRID HD3 136/134M 16PR TL M+S 3PMSF;przemysłowe;All position;PEWNE;Oś kierowana
MO5_CCCR19524570KHTC0;Continental;CONTI HYBRID HT3+;245/70R19.5 Continental CONTI HYBRID HT3+ 141/140K 16PR TL M+S 3PMSF;przemysłowe;All position;PEWNE;Oś kierowana
MO5_CCCR175F0000LLS12;Continental;LSR1;10R17.5 Continental LSR1 134/132L 16PR TL;przemysłowe;All position;PEWNE;Oś kierowana
MO5_CCCR17526570MH3S2;Continental;CONTI HYBRID 3;265/70R17.5 Continental CONTI HYBRID LS3 139/136M 14PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR17524570MH3S2;Continental;CONTI HYBRID 3;245/70R17.5 Continental CONTI HYBRID LS3 136/134M 14PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR17523575MH3S4;Continental;CONTI HYBRID 3;235/75R17.5 Continental CONTI HYBRID LS3 132/130M 12PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR17522575MH3S2;Continental;CONTI HYBRID 3;225/75R17.5 Continental CONTI HYBRID LS3 129/127M 12PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR17521575MH3S2;Continental;CONTI HYBRID 3;215/75R17.5 Continental CONTI HYBRID LS3 126/124M 12PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCCR17520575MHLS2;Continental;CONTI HYBRID 3;205/75R17.5 Continental CONTI HYBRID LS3 124/122M 12PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO4_CCCR22538565KHTC2;Continental;CONTI HYBRID HT3+;385/65R22.5 Continental CONTI HYBRID HT3+ 164K 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO4_CCCR22538565KCH50;Continental;CONTI HYBRID HS5;385/65R22.5 Continental CONTI HYBRID HS5 164K 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO4_CCCR22538565K5SH0;Continental;CONTI ECO HS5;385/65R22.5 Continental CONTI ECO HS5 164K 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO4_CCCR22531580LCH50;Continental;CONTI HYBRID HS5;315/80R22.5 Continental CONTI HYBRID HS5 156/150L 18PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO4_CCCR22531580L5SH0;Continental;CONTI ECO HS5;315/80R22.5 Continental CONTI ECO HS5 156/150L 18PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO4_CCCR22531570LCH50;Continental;CONTI HYBRID HS5;315/70R22.5 Continental CONTI HYBRID HS5 156/150L 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO4_CCCR22531570L5SH0;Continental;CONTI ECO HS5;315/70R22.5 Continental CONTI ECO HS5 156/150L 20PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO4_CCCR22529560LH3D1;Continental;CONTI HYBRID HD3;295/60R22.5 Continental CONTI HYBRID HD3 150/147L 18PR TL M+S 3PMSF;ciężarowe;All position;PEWNE;Oś kierowana
MO2_05322730000;Continental;CONTI HYBRID HT5;385/65R22.5 Continental CONTI HYBRID HT5 164K 3PMSF M+S;ciężarowe;All position;PEWNE;Oś kierowana
MO2_04121950000;Continental;LSR1;10R17.5 Continental LSR1 134/132L FRONT;ciężarowe;All position;PEWNE;Oś kierowana
MO5_CCRR38065065DTMA0;Continental;TRACTOR MASTER;650/65R38 Continental TRACTOR MASTER 157D/160A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR38058070DC700;Continental;TRACTOR 70;580/70R38 Continental TRACTOR 70 155D/158A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR38054065DTMA0;Continental;TRACTOR MASTER;540/65R38 Continental TRACTOR MASTER 147D/150A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR38048070DC700;Continental;TRACTOR 70;480/70R38 Continental TRACTOR 70 145D/148A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR380420858C850;Continental;TRACTOR 85;420/85R38 Continental TRACTOR 85 144A8/144B TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR34060065DTMA0;Continental;TRACTOR MASTER;600/65R34 Continental TRACTOR MASTER 151D/154A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR34052070DC700;Continental;TRACTOR 70;520/70R34 Continental TRACTOR 70 148D/151A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR340420858C852;Continental;TRACTOR 85;420/85R34 Continental TRACTOR 85 147A8/147B TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR32090060BCBM0;Continental;COMBINE MASTER CHO;900/60R32 Continental COMBINE MASTER CHO 181B/181A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR32080070BCBM0;Continental;COMBINE MASTER CHO;800/70R32 Continental COMBINE MASTER CHO 181B/181A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR30060070DTMA0;Continental;TRACTOR MASTER;600/70R30 Continental TRACTOR MASTER 152D/155A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR28060070DTMA0;Continental;TRACTOR MASTER;600/70R28 Continental TRACTOR MASTER 157D/160A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR280380858C850;Continental;TRACTOR 85;380/85R28 Continental TRACTOR 85 133A8/130B TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR24038070DC700;Continental;TRACTOR 70;380/70R24 Continental TRACTOR 70 125D/128A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCRR24036070DC700;Continental;TRACTOR 70;360/70R24 Continental TRACTOR 70 122D/125A8 TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCPR240460708CME0;Continental;COMPACT MASTER EM;460/70R24 Continental COMPACT MASTER EM 159A8/159B TL;rolnicze;All position;WZORZEC;Oś kierowana
MO5_CCCZ22535550KHWS1;Continental;HSW2 SCANDINAVIA;355/50R22.5 Continental HSW2 SCANDINAVIA 156K 20PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
